h_nb_victories,h_nb_draws,h_nb_defeats,h_nb_points,h_nb_goals_scored,h_nb_goals_conceded,h_nb_goals_diff,h_nb_games,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_points_home,h_nb_goals_scored_home,h_nb_goals_conceded_home,h_diff_goals_home,h_last_n_games_points_home,h_last_n_games_victories_home,h_last_n_games_draws_home,h_last_n_games_defeats_home,h_mean_nb_goals_scored_home,h_mean_nb_goals_conceded_home,h_season_wages,a_nb_victories,a_nb_draws,a_nb_defeats,a_nb_points,a_nb_goals_scored,a_nb_goals_conceded,a_nb_goals_diff,a_nb_games,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_points_away,a_nb_goals_scored_away,a_nb_goals_conceded_away,a_diff_goals_away,a_last_n_games_points_away,a_last_n_games_victories_away,a_last_n_games_draws_away,a_last_n_games_defeats_away,a_mean_nb_goals_scored_away,a_mean_nb_goals_conceded_away,a_season_wages,diff_nb_victories,diff_nb_draws,diff_nb_defeats,diff_nb_points,diff_nb_goals_diff,diff_season_wages,Month,Week,distance_km,capacity_home_stadium,home_win,id
2.0,1.0,3.0,7.0,8.0,9.0,-1.0,6.0,3.0,0.0,1.0,2.0,1.0,3.0,5.0,-2.0,1.0,0.0,1.0,2.0,1.0,1.66666666667,45.9,5.0,0.0,2.0,15.0,17.0,10.0,7.0,7.0,3.0,2.0,0.0,1.0,6.0,7.0,5.0,2.0,6.0,2.0,0.0,1.0,2.33333333333,1.66666666667,66.6,-3.0,1.0,1.0,-8.0,-8.0,-20.7,10,40,9943.76239433,28100.0,0,E0_2009_2010_66
3.0,0.0,4.0,9.0,5.0,15.0,-10.0,7.0,3.0,3.0,0.0,0.0,9.0,5.0,1.0,4.0,9.0,3.0,0.0,0.0,1.66666666667,0.333333333333,22.4,2.0,1.0,4.0,7.0,4.0,6.0,-2.0,7.0,3.0,1.0,0.0,2.0,3.0,2.0,3.0,-1.0,3.0,1.0,0.0,2.0,0.666666666667,1.0,38.1,1.0,-1.0,0.0,2.0,-8.0,-15.7,10,40,8603.51167518,22546.0,1,E0_2009_2010_67
1.0,1.0,5.0,4.0,6.0,19.0,-13.0,7.0,3.0,1.0,0.0,2.0,3.0,2.0,6.0,-4.0,3.0,1.0,0.0,2.0,0.666666666667,2.0,38.3,3.0,0.0,4.0,9.0,7.0,13.0,-6.0,7.0,3.0,1.0,0.0,2.0,3.0,3.0,6.0,-3.0,3.0,1.0,0.0,2.0,1.0,2.0,39.1,-2.0,1.0,1.0,-5.0,-7.0,-0.8,10,40,13838.836238,25404.0,1,E0_2009_2010_68
6.0,0.0,1.0,18.0,17.0,6.0,11.0,7.0,3.0,3.0,0.0,0.0,9.0,7.0,4.0,3.0,9.0,3.0,0.0,0.0,2.33333333333,1.33333333333,131.6,4.0,0.0,3.0,12.0,14.0,11.0,3.0,7.0,3.0,1.0,0.0,2.0,3.0,2.0,4.0,-2.0,3.0,1.0,0.0,2.0,0.666666666667,1.33333333333,54.0,2.0,0.0,-2.0,6.0,8.0,77.6,10,40,9401.08466466,75811.0,0,E0_2009_2010_69
2.0,1.0,4.0,7.0,7.0,13.0,-6.0,7.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,-1.0,4.0,1.0,1.0,1.0,1.0,1.33333333333,29.9,0.0,0.0,7.0,0.0,3.0,13.0,-10.0,7.0,3.0,0.0,0.0,3.0,0.0,1.0,7.0,-6.0,0.0,0.0,0.0,3.0,0.333333333333,2.33333333333,0.0,2.0,1.0,-3.0,7.0,4.0,29.9,10,40,9473.13624092,27828.0,0,E0_2009_2010_70
1.0,1.0,4.0,4.0,6.0,9.0,-3.0,6.0,2.0,0.0,0.0,2.0,0.0,3.0,5.0,-2.0,0.0,0.0,0.0,2.0,1.5,2.5,54.0,2.0,0.0,4.0,6.0,4.0,8.0,-4.0,6.0,3.0,1.0,0.0,2.0,3.0,2.0,4.0,-2.0,3.0,1.0,0.0,2.0,0.666666666667,1.33333333333,48.5,-1.0,1.0,0.0,-2.0,1.0,5.5,10,40,650.697879204,35303.0,0,E0_2009_2010_74
3.0,0.0,3.0,9.0,8.0,10.0,-2.0,6.0,3.0,2.0,0.0,1.0,6.0,6.0,7.0,-1.0,6.0,2.0,0.0,1.0,2.0,2.33333333333,54.5,2.0,2.0,3.0,8.0,5.0,9.0,-4.0,7.0,3.0,0.0,2.0,1.0,2.0,1.0,5.0,-4.0,2.0,0.0,2.0,1.0,0.333333333333,1.66666666667,44.8,1.0,-2.0,0.0,1.0,2.0,9.7,10,40,5671.64757567,40157.0,0,E0_2009_2010_73
4.0,0.0,2.0,12.0,18.0,8.0,10.0,6.0,2.0,2.0,0.0,0.0,6.0,8.0,1.0,7.0,6.0,2.0,0.0,0.0,4.0,0.5,110.8,2.0,1.0,3.0,7.0,6.0,9.0,-3.0,6.0,2.0,0.0,0.0,2.0,0.0,1.0,5.0,-4.0,0.0,0.0,0.0,2.0,0.5,2.5,47.0,2.0,-1.0,-1.0,5.0,13.0,63.8,10,40,10728.3738802,60361.0,1,E0_2009_2010_71
6.0,0.0,1.0,18.0,16.0,6.0,10.0,7.0,3.0,3.0,0.0,0.0,9.0,8.0,1.0,7.0,9.0,3.0,0.0,0.0,2.66666666667,0.333333333333,174.7,5.0,0.0,2.0,15.0,22.0,10.0,12.0,7.0,3.0,2.0,0.0,1.0,6.0,7.0,6.0,1.0,6.0,2.0,0.0,1.0,2.33333333333,2.0,120.3,1.0,0.0,-1.0,3.0,-2.0,54.4,10,40,8058.75245833,42449.0,1,E0_2009_2010_72
4.0,0.0,2.0,12.0,9.0,5.0,4.0,6.0,3.0,2.0,0.0,1.0,6.0,4.0,2.0,2.0,6.0,2.0,0.0,1.0,1.33333333333,0.666666666667,80.1,5.0,0.0,1.0,15.0,14.0,7.0,7.0,6.0,3.0,2.0,0.0,1.0,6.0,6.0,4.0,2.0,6.0,2.0,0.0,1.0,2.0,1.33333333333,132.5,-1.0,0.0,1.0,-3.0,-3.0,-52.4,10,41,6437.760756,42785.0,0,E0_2009_2010_75
5.0,0.0,2.0,15.0,24.0,10.0,14.0,7.0,3.0,3.0,0.0,0.0,9.0,14.0,3.0,11.0,9.0,3.0,0.0,0.0,4.66666666667,1.0,110.8,2.0,1.0,5.0,7.0,5.0,8.0,-3.0,8.0,4.0,1.0,0.0,3.0,3.0,3.0,5.0,-2.0,3.0,1.0,0.0,2.0,0.75,1.25,38.1,3.0,-1.0,-3.0,8.0,17.0,72.7,10,42,4078.57086619,60361.0,1,E0_2009_2010_76
4.0,1.0,2.0,13.0,10.0,6.0,4.0,7.0,4.0,2.0,1.0,1.0,7.0,5.0,3.0,2.0,7.0,2.0,1.0,0.0,1.25,0.75,80.1,7.0,0.0,1.0,21.0,18.0,6.0,12.0,8.0,4.0,3.0,0.0,1.0,9.0,8.0,5.0,3.0,6.0,2.0,0.0,1.0,2.0,1.25,174.7,-3.0,1.0,1.0,-8.0,-8.0,-94.6,10,42,4508.55538178,42785.0,1,E0_2009_2010_77
3.0,1.0,3.0,10.0,9.0,11.0,-2.0,7.0,4.0,2.0,1.0,1.0,7.0,7.0,8.0,-1.0,7.0,2.0,1.0,0.0,1.75,2.0,54.5,2.0,1.0,5.0,7.0,7.0,14.0,-7.0,8.0,4.0,1.0,0.0,3.0,3.0,4.0,9.0,-5.0,0.0,0.0,0.0,3.0,1.0,2.25,29.9,1.0,0.0,-2.0,3.0,5.0,24.6,10,42,7136.96900624,40157.0,0,E0_2009_2010_78
6.0,1.0,1.0,19.0,19.0,8.0,11.0,8.0,4.0,3.0,1.0,0.0,10.0,9.0,6.0,3.0,7.0,2.0,1.0,0.0,2.25,1.5,131.6,2.0,2.0,3.0,8.0,10.0,11.0,-1.0,7.0,3.0,2.0,0.0,1.0,6.0,5.0,4.0,1.0,6.0,2.0,0.0,1.0,1.66666666667,1.33333333333,45.9,4.0,-1.0,-2.0,11.0,12.0,85.7,10,42,1716.24995081,75811.0,1,E0_2009_2010_79
1.0,0.0,7.0,3.0,4.0,13.0,-9.0,8.0,4.0,0.0,0.0,4.0,0.0,2.0,6.0,-4.0,0.0,0.0,0.0,3.0,0.5,1.5,0.0,5.0,1.0,2.0,16.0,19.0,12.0,7.0,8.0,4.0,2.0,1.0,1.0,7.0,9.0,7.0,2.0,4.0,1.0,1.0,1.0,2.25,1.75,66.6,-4.0,-1.0,5.0,-13.0,-16.0,-66.6,10,42,5903.63422509,20224.0,0,E0_2009_2010_80
2.0,3.0,3.0,9.0,6.0,10.0,-4.0,8.0,4.0,2.0,0.0,2.0,6.0,4.0,4.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,44.8,1.0,2.0,4.0,5.0,8.0,11.0,-3.0,7.0,4.0,1.0,1.0,2.0,4.0,3.0,4.0,-1.0,1.0,0.0,1.0,2.0,0.75,1.0,54.0,1.0,1.0,-1.0,4.0,-1.0,-9.2,10,42,6279.42435295,27740.0,1,E0_2009_2010_81
4.0,1.0,3.0,13.0,16.0,13.0,3.0,8.0,4.0,3.0,0.0,1.0,9.0,12.0,7.0,5.0,9.0,3.0,0.0,0.0,3.0,1.75,54.0,5.0,0.0,3.0,15.0,22.0,12.0,10.0,8.0,4.0,2.0,0.0,2.0,6.0,7.0,8.0,-1.0,6.0,2.0,0.0,1.0,1.75,2.0,120.3,-1.0,1.0,0.0,-2.0,-7.0,-66.3,10,42,9857.31593192,48707.0,1,E0_2009_2010_82
