h_nb_victories_total,h_nb_draws_total,h_season_points,h_nb_games_total,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_goals_scored_home,h_mean_nb_goals_scored_home,h_nb_goals_conceded_home,h_mean_nb_goals_conceded_home,h_last_n_games_points_home,h_season_wages,a_nb_victories_total,a_nb_draws_total,a_season_points,a_nb_games_total,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_goals_scored_away,a_mean_nb_goals_scored_away,a_nb_goals_conceded_away,a_mean_nb_goals_conceded_away,a_last_n_games_points,a_season_wages,home_win
0.0,1.0,1.0,6.0,3.0,0.0,1.0,2.0,4.0,1.3333333333333333,6.0,2.0,1.0,13.0,2.0,2.0,8.0,7.0,5.0,0.0,2.0,0.0,2.0,0.4,9.0,1.8,1.0,45.0,0
4.0,1.0,13.0,7.0,3.0,2.0,1.0,0.0,5.0,1.6666666666666667,3.0,1.0,7.0,131.0,4.0,3.0,15.0,7.0,4.0,2.0,2.0,0.0,4.0,1.0,1.0,0.25,5.0,133.0,1
2.0,2.0,8.0,7.0,4.0,1.0,2.0,1.0,6.0,1.5,10.0,2.5,5.0,54.5,1.0,2.0,5.0,6.0,2.0,0.0,0.0,0.0,3.0,1.5,8.0,4.0,0.0,47.0,1
2.0,1.0,7.0,7.0,5.0,1.0,1.0,3.0,4.0,0.8,9.0,1.8,3.0,29.9,3.0,2.0,11.0,7.0,4.0,1.0,2.0,0.0,4.0,1.0,5.0,1.25,2.0,48.5,1
6.0,0.0,18.0,7.0,4.0,4.0,0.0,0.0,8.0,2.0,1.0,0.25,9.0,174.7,5.0,2.0,17.0,7.0,4.0,2.0,2.0,0.0,11.0,2.75,6.0,1.5,5.0,66.6,1
3.0,2.0,11.0,8.0,3.0,2.0,0.0,1.0,3.0,1.0,3.0,1.0,6.0,48.5,6.0,0.0,18.0,7.0,3.0,2.0,0.0,0.0,11.0,3.6666666666666665,4.0,1.3333333333333333,6.0,110.0,0
3.0,2.0,11.0,8.0,3.0,1.0,1.0,1.0,7.0,2.3333333333333335,5.0,1.6666666666666667,4.0,120.3,3.0,1.0,10.0,8.0,3.0,0.0,1.0,0.0,2.0,0.6666666666666666,6.0,2.0,1.0,38.3,1
2.0,0.0,6.0,8.0,3.0,1.0,0.0,2.0,2.0,0.6666666666666666,2.0,0.6666666666666666,3.0,0.0,3.0,2.0,11.0,8.0,3.0,1.0,0.0,0.0,3.0,1.0,4.0,1.3333333333333333,3.0,54.5,0
2.0,3.0,9.0,8.0,2.0,2.0,0.0,0.0,3.0,1.5,0.0,0.0,6.0,45.0,5.0,1.0,16.0,8.0,4.0,2.0,0.0,0.0,9.0,2.25,2.0,0.5,6.0,131.0,0
5.0,2.0,17.0,8.0,3.0,3.0,0.0,0.0,6.0,2.0,2.0,0.6666666666666666,9.0,66.6,4.0,1.0,13.0,8.0,4.0,0.0,1.0,0.0,3.0,0.75,10.0,2.5,1.0,22.4,1
1.0,1.0,4.0,8.0,4.0,0.0,1.0,3.0,3.0,0.75,10.0,2.5,1.0,39.1,7.0,0.0,21.0,8.0,3.0,2.0,0.0,0.0,6.0,2.0,3.0,1.0,6.0,174.7,1
