id,BbAvH
E0_2010_2011_185,1.82
E0_2010_2011_184,1.52
E0_2010_2011_182,1.87
E0_2010_2011_181,1.47
E0_2010_2011_180,6.89
E0_2010_2011_183,1.6
E0_2010_2011_187,1.29
E0_2010_2011_188,1.32
E0_2010_2011_189,6.87
E0_2010_2011_195,1.45
E0_2010_2011_197,2.0
E0_2010_2011_196,5.9
E0_2010_2011_194,1.85
E0_2010_2011_192,1.27
E0_2010_2011_191,1.67
E0_2010_2011_190,5.37
E0_2010_2011_193,2.71
E0_2010_2011_198,1.25
E0_2010_2011_199,2.45
E0_2010_2011_200,2.3
E0_2010_2011_201,2.16
E0_2010_2011_202,1.27
E0_2010_2011_203,1.94
E0_2010_2011_204,2.15
E0_2010_2011_205,3.39
E0_2010_2011_206,1.7
E0_2010_2011_207,2.66
E0_2010_2011_208,1.86
E0_2010_2011_209,7.73
E0_2010_2011_210,3.87
E0_2010_2011_216,2.55
E0_2010_2011_215,6.29
E0_2010_2011_214,1.78
E0_2010_2011_213,2.12
E0_2010_2011_212,1.32
E0_2010_2011_211,1.27
E0_2010_2011_217,2.41
E0_2010_2011_218,2.2
E0_2010_2011_219,2.11
E0_2010_2011_220,2.84
E0_2010_2011_228,3.21
E0_2010_2011_227,3.39
E0_2010_2011_226,1.2
E0_2010_2011_225,2.18
E0_2010_2011_224,1.49
E0_2010_2011_223,2.47
E0_2010_2011_222,3.52
E0_2010_2011_221,1.2
E0_2010_2011_229,2.22
E0_2010_2011_230,5.5
E0_2010_2011_231,8.57
E0_2010_2011_232,3.23
E0_2010_2011_233,1.53
E0_2010_2011_237,1.71
E0_2010_2011_236,5.33
E0_2010_2011_235,1.32
E0_2010_2011_234,1.44
E0_2010_2011_238,4.37
E0_2010_2011_239,3.12
E0_2010_2011_240,2.33
E0_2010_2011_241,1.83
E0_2010_2011_242,2.06
E0_2010_2011_243,1.6
E0_2010_2011_245,1.45
E0_2010_2011_244,1.93
E0_2010_2011_246,1.41
E0_2010_2011_247,5.21
E0_2010_2011_248,2.08
E0_2010_2011_249,1.57
E0_2010_2011_250,2.49
E0_2010_2011_251,7.83
E0_2010_2011_252,1.6
E0_2010_2011_253,2.04
E0_2010_2011_259,1.77
E0_2010_2011_260,2.71
E0_2010_2011_258,1.36
E0_2010_2011_261,1.93
E0_2010_2011_256,2.11
E0_2010_2011_255,2.47
E0_2010_2011_254,1.23
E0_2010_2011_257,3.21
E0_2010_2011_262,2.69
E0_2010_2011_263,4.89
E0_2010_2011_264,2.52
E0_2010_2011_265,1.86
E0_2010_2011_266,4.21
E0_2010_2011_267,1.29
E0_2010_2011_272,1.83
E0_2010_2011_271,6.46
E0_2010_2011_268,1.75
E0_2010_2011_269,1.72
E0_2010_2011_270,2.08
E0_2010_2011_273,1.5
E0_2010_2011_274,3.44
E0_2010_2011_275,1.92
E0_2010_2011_276,2.16
E0_2010_2011_282,2.58
E0_2010_2011_283,2.21
E0_2010_2011_281,1.37
E0_2010_2011_279,2.26
E0_2010_2011_278,2.33
E0_2010_2011_277,1.46
E0_2010_2011_280,1.71
E0_2010_2011_284,2.81
E0_2010_2011_285,2.94
E0_2010_2011_286,9.77
E0_2010_2011_287,1.54
E0_2010_2011_290,2.01
E0_2010_2011_295,2.16
E0_2010_2011_294,4.67
E0_2010_2011_293,1.57
E0_2010_2011_289,1.82
E0_2010_2011_291,1.4
E0_2010_2011_288,1.88
E0_2010_2011_292,2.2
E0_2010_2011_296,1.65
E0_2010_2011_297,2.65
E0_2010_2011_303,3.04
E0_2010_2011_305,3.08
E0_2010_2011_302,5.42
E0_2010_2011_304,4.52
E0_2010_2011_300,1.85
E0_2010_2011_299,2.5
E0_2010_2011_298,1.25
E0_2010_2011_301,1.99
E0_2010_2011_306,1.55
E0_2010_2011_307,1.52
E0_2010_2011_314,2.55
E0_2010_2011_312,2.2
E0_2010_2011_311,1.45
E0_2010_2011_313,1.74
E0_2010_2011_309,2.15
E0_2010_2011_308,2.01
E0_2010_2011_310,1.21
E0_2010_2011_315,1.84
E0_2010_2011_316,7.92
E0_2010_2011_317,2.59
E0_2010_2011_318,2.15
E0_2010_2011_319,2.34
E0_2010_2011_320,1.68
E0_2010_2011_321,5.2
E0_2010_2011_322,2.27
E0_2010_2011_323,1.72
E0_2010_2011_324,5.49
E0_2010_2011_326,2.82
E0_2010_2011_325,1.21
E0_2010_2011_327,1.82
E0_2010_2011_328,2.86
E0_2010_2011_329,1.22
E0_2010_2011_330,1.46
E0_2010_2011_331,1.45
E0_2010_2011_332,2.09
E0_2010_2011_333,1.56
E0_2010_2011_334,2.5
E0_2010_2011_335,4.74
E0_2010_2011_336,3.59
E0_2010_2011_337,1.82
E0_2010_2011_338,1.82
E0_2010_2011_339,1.99
E0_2010_2011_340,2.66
E0_2010_2011_341,1.48
E0_2010_2011_342,2.55
E0_2010_2011_343,2.31
E0_2010_2011_344,2.8
E0_2010_2011_345,2.52
E0_2010_2011_346,2.09
E0_2010_2011_347,1.47
E0_2010_2011_348,1.4
E0_2010_2011_353,1.3
E0_2010_2011_352,1.92
E0_2010_2011_354,1.98
E0_2010_2011_350,1.79
E0_2010_2011_349,1.8
E0_2010_2011_351,2.72
E0_2010_2011_356,5.02
E0_2010_2011_357,2.19
E0_2010_2011_355,2.34
E0_2010_2011_358,2.91
E0_2010_2011_359,1.93
E0_2010_2011_360,5.39
E0_2010_2011_361,2.15
E0_2010_2011_362,2.59
E0_2010_2011_363,2.63
E0_2010_2011_365,2.19
E0_2010_2011_364,1.36
E0_2010_2011_366,1.23
E0_2010_2011_367,1.74
E0_2010_2011_368,2.15
E0_2010_2011_369,1.42
E0_2010_2011_378,1.97
E0_2010_2011_379,2.13
E0_2010_2011_376,2.76
E0_2010_2011_375,2.03
E0_2010_2011_377,1.53
E0_2010_2011_373,3.63
E0_2010_2011_372,3.04
E0_2010_2011_371,4.92
E0_2010_2011_370,3.11
E0_2010_2011_374,1.56
E0_2011_2012_0,2.13
E0_2011_2012_1,2.12
E0_2011_2012_2,1.5
E0_2011_2012_3,3.68
E0_2011_2012_4,2.3
E0_2011_2012_5,2.1
E0_2011_2012_7,6.66
E0_2011_2012_6,5.54
E0_2011_2012_8,1.26
E0_2011_2012_9,2.53
E0_2011_2012_10,1.72
E0_2011_2012_11,1.29
E0_2011_2012_12,1.53
E0_2011_2012_13,2.13
E0_2011_2012_14,2.14
E0_2011_2012_15,4.69
E0_2011_2012_16,2.52
E0_2011_2012_17,2.33
E0_2011_2012_18,1.63
E0_2011_2012_24,2.28
E0_2011_2012_23,2.41
E0_2011_2012_22,1.41
E0_2011_2012_21,1.2
E0_2011_2012_20,3.14
E0_2011_2012_19,2.02
E0_2011_2012_25,1.48
E0_2011_2012_26,2.11
E0_2011_2012_27,2.85
E0_2011_2012_28,2.06
E0_2011_2012_35,2.91
E0_2011_2012_34,5.19
E0_2011_2012_33,3.33
E0_2011_2012_31,2.04
E0_2011_2012_30,7.91
E0_2011_2012_29,1.35
E0_2011_2012_32,1.17
E0_2011_2012_36,1.67
E0_2011_2012_37,2.49
E0_2011_2012_38,2.43
E0_2011_2012_43,2.64
E0_2011_2012_42,1.52
E0_2011_2012_44,1.94
E0_2011_2012_40,4.27
E0_2011_2012_39,1.93
E0_2011_2012_41,1.76
E0_2011_2012_45,6.28
E0_2011_2012_46,1.82
E0_2011_2012_47,2.38
E0_2011_2012_48,2.62
E0_2011_2012_56,3.97
E0_2011_2012_55,2.3
E0_2011_2012_54,6.53
E0_2011_2012_53,1.85
E0_2011_2012_51,1.38
E0_2011_2012_50,1.2
E0_2011_2012_49,1.44
E0_2011_2012_52,1.43
E0_2011_2012_57,2.31
E0_2011_2012_58,2.46
E0_2011_2012_64,2.43
E0_2011_2012_59,1.62
E0_2011_2012_60,5.99
E0_2011_2012_61,2.94
E0_2011_2012_62,1.16
E0_2011_2012_63,2.23
E0_2011_2012_68,2.12
E0_2011_2012_67,2.59
E0_2011_2012_65,6.52
E0_2011_2012_66,1.97
E0_2011_2012_75,2.29
E0_2011_2012_74,2.14
E0_2011_2012_73,1.85
E0_2011_2012_70,2.95
E0_2011_2012_71,1.34
E0_2011_2012_69,1.35
E0_2011_2012_72,2.19
E0_2011_2012_76,1.44
E0_2011_2012_77,2.9
E0_2011_2012_78,2.01
E0_2011_2012_83,1.99
E0_2011_2012_81,1.29
E0_2011_2012_82,1.58
E0_2011_2012_79,2.0
E0_2011_2012_80,2.21
E0_2011_2012_84,1.55
E0_2011_2012_85,4.02
E0_2011_2012_86,2.34
E0_2011_2012_87,2.05
E0_2011_2012_88,8.84
E0_2011_2012_94,2.09
E0_2011_2012_96,2.91
E0_2011_2012_95,3.77
E0_2011_2012_93,2.15
E0_2011_2012_92,1.96
E0_2011_2012_91,1.16
E0_2011_2012_90,4.57
E0_2011_2012_89,1.61
E0_2011_2012_97,1.37
E0_2011_2012_98,2.13
E0_2011_2012_105,9.29
E0_2011_2012_104,2.24
E0_2011_2012_103,1.24
E0_2011_2012_102,1.3
E0_2011_2012_101,7.09
E0_2011_2012_100,1.82
E0_2011_2012_99,1.41
E0_2011_2012_106,2.36
E0_2011_2012_107,3.15
E0_2011_2012_108,1.9
E0_2011_2012_116,2.47
E0_2011_2012_114,7.03
E0_2011_2012_113,2.33
E0_2011_2012_115,2.0
E0_2011_2012_111,5.06
E0_2011_2012_110,1.29
E0_2011_2012_109,1.59
E0_2011_2012_112,1.8
E0_2011_2012_117,1.81
E0_2011_2012_118,1.53
E0_2011_2012_126,3.99
E0_2011_2012_125,1.68
E0_2011_2012_124,1.8
E0_2011_2012_123,2.18
E0_2011_2012_122,1.37
E0_2011_2012_121,1.23
E0_2011_2012_120,3.01
E0_2011_2012_119,1.45
E0_2011_2012_127,2.78
E0_2011_2012_128,2.22
E0_2011_2012_134,1.3
E0_2011_2012_133,2.24
E0_2011_2012_132,3.56
E0_2011_2012_135,6.05
E0_2011_2012_130,2.15
E0_2011_2012_129,5.16
E0_2011_2012_131,1.18
E0_2011_2012_136,1.71
E0_2011_2012_137,2.39
E0_2011_2012_138,3.37
E0_2011_2012_144,2.59
E0_2011_2012_143,2.42
E0_2011_2012_142,1.22
E0_2011_2012_145,1.66
E0_2011_2012_140,2.47
E0_2011_2012_139,1.55
E0_2011_2012_141,1.31
E0_2011_2012_146,3.6
E0_2011_2012_147,1.88
E0_2011_2012_148,2.41
E0_2011_2012_149,2.35
E0_2011_2012_150,1.62
E0_2011_2012_151,1.63
E0_2011_2012_152,1.8
E0_2011_2012_153,8.73
E0_2011_2012_154,2.49
E0_2011_2012_157,7.26
E0_2011_2012_155,4.06
E0_2011_2012_156,1.69
E0_2011_2012_158,1.37
E0_2011_2012_160,2.07
E0_2011_2012_159,2.12
E0_2011_2012_167,6.96
E0_2011_2012_166,2.43
E0_2011_2012_165,1.94
E0_2011_2012_162,1.59
E0_2011_2012_163,5.08
E0_2011_2012_161,4.8
E0_2011_2012_164,1.23
E0_2011_2012_168,2.55
E0_2011_2012_175,7.41
E0_2011_2012_174,2.41
